web       |          589214 function calls (589208 primitive calls) in 58.922 seconds
web       | 
web       |    Ordered by: standard name
web       | 
web       |    ncalls  tottime  percall  cumtime  percall filename:lineno(function)
web       |        22    0.000    0.000    0.000    0.000 __init__.py:100(__init__)
web       |         1    0.000    0.000    0.000    0.000 __init__.py:1060(flush)
web       |         1    0.000    0.000    0.000    0.000 __init__.py:1071(emit)
web       |         1    0.000    0.000    0.000    0.000 __init__.py:119(getLevelName)
web       |        22    0.000    0.000    0.000    0.000 __init__.py:131(__aenter__)
web       |        22    0.000    0.000    0.000    0.000 __init__.py:135(__aexit__)
web       |       876    0.001    0.000    0.003    0.000 __init__.py:1424(debug)
web       |         1    0.000    0.000    0.000    0.000 __init__.py:1436(info)
web       |         1    0.000    0.000    0.000    0.000 __init__.py:1514(findCaller)
web       |         1    0.000    0.000    0.000    0.000 __init__.py:1550(makeRecord)
web       |         1    0.000    0.000    0.000    0.000 __init__.py:1565(_log)
web       |         1    0.000    0.000    0.000    0.000 __init__.py:1591(handle)
web       |         1    0.000    0.000    0.000    0.000 __init__.py:160(<lambda>)
web       |         1    0.000    0.000    0.000    0.000 __init__.py:1645(callHandlers)
web       |       877    0.002    0.000    0.002    0.000 __init__.py:1689(isEnabledFor)
web       |        22    0.000    0.000    0.000    0.000 __init__.py:179(update)
web       |        22    0.000    0.000    0.000    0.000 __init__.py:200(_reschedule)
web       |        22    0.000    0.000    0.000    0.000 __init__.py:216(_do_enter)
web       |        22    0.000    0.000    0.000    0.000 __init__.py:22(_uncancel_task)
web       |        22    0.000    0.000    0.000    0.000 __init__.py:222(_do_exit)
web       |        22    0.000    0.000    0.000    0.000 __init__.py:234(_on_timeout)
web       |         1    0.000    0.000    0.000    0.000 __init__.py:282(__init__)
web       |         1    0.000    0.000    0.000    0.000 __init__.py:299(loads)
web       |        22    0.000    0.000    0.000    0.000 __init__.py:32(timeout)
web       |         1    0.000    0.000    0.000    0.000 __init__.py:358(getMessage)
web       |         1    0.000    0.000    0.000    0.000 __init__.py:421(usesTime)
web       |         1    0.000    0.000    0.000    0.000 __init__.py:429(_format)
web       |         1    0.000    0.000    0.000    0.000 __init__.py:432(format)
web       |      1742    0.002    0.000    0.007    0.000 __init__.py:437(_make)
web       |      1742    0.005    0.000    0.012    0.000 __init__.py:447(_replace)
web       |         1    0.000    0.000    0.000    0.000 __init__.py:628(usesTime)
web       |         1    0.000    0.000    0.000    0.000 __init__.py:634(formatMessage)
web       |         1    0.000    0.000    0.000    0.000 __init__.py:650(format)
web       |         2    0.000    0.000    0.000    0.000 __init__.py:791(filter)
web       |         2    0.000    0.000    0.000    0.000 __init__.py:896(acquire)
web       |         2    0.000    0.000    0.000    0.000 __init__.py:903(release)
web       |         1    0.000    0.000    0.000    0.000 __init__.py:916(format)
web       |         1    0.000    0.000    0.000    0.000 __init__.py:939(handle)
web       |         3    0.000    0.000    0.000    0.000 _collections_abc.py:113(__subclasshook__)
web       |         1    0.000    0.000    0.000    0.000 _collections_abc.py:156(__subclasshook__)
web       |         2    0.000    0.000    0.000    0.000 _collections_abc.py:78(_check_methods)
web       |        16    0.000    0.000    0.000    0.000 _common.py:138(_remove_call)
web       |        17    0.000    0.000    0.000    0.000 _common.py:39(__init__)
web       |        16    0.000    0.000    0.000    0.000 _common.py:45(cancel)
web       |        17    0.000    0.000    0.001    0.000 _common.py:78(call_later)
web       |         1    0.000    0.000    0.000    0.000 _constants.py:259(iterconstants)
web       |         5    0.000    0.000    0.000    0.000 _constants.py:271(<lambda>)
web       |         1    0.000    0.000    0.000    0.000 _global.py:185(showwarning)
web       |         1    0.000    0.000    0.000    0.000 _logger.py:105(emit)
web       |         1    0.000    0.000    0.000    0.000 _logger.py:222(warn)
web       |       875    0.002    0.000    0.063    0.000 _newtls.py:171(write)
web       |         1    0.000    0.000    0.000    0.000 _newtls.py:194(loseConnection)
web       |         1    0.000    0.000    0.000    0.000 _newtls.py:221(unregisterProducer)
web       |         1    0.000    0.000    0.000    0.000 _observer.py:57(__call__)
web       |         2    0.000    0.000    0.000    0.000 _weakrefset.py:39(_remove)
web       |         1    0.000    0.000    0.000    0.000 _weakrefset.py:86(add)
web       |        54    0.000    0.000    0.000    0.000 abc.py:117(__instancecheck__)
web       |       5/2    0.000    0.000    0.000    0.000 abc.py:121(__subclasscheck__)
web       |         1    0.000    0.000    0.000    0.000 abstract.py:114(unregisterProducer)
web       |         1    0.000    0.000    0.000    0.000 abstract.py:193(connectionLost)
